t_idx,best_total_cost
0,0
1,0
2,0
3,0
4,0
5,0
6,0.0752451
7,0.0752451
8,0.0752533
9,0.0752533
10,0
11,0
12,0
13,0
14,0.041155
15,0.041155
16,0
17,0
18,0.0751857
19,0.0754825
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0.075186
35,0.075186
36,0
37,0
38,0
39,0
40,0.0611376
41,0.0611376
42,0.0749439
43,0.0749439
44,0
45,0
46,0.0611288
47,0.0611288
48,0
49,0
50,0.0751857
51,0.0751857
52,0.0943099
53,0.0943099
54,0
55,0
56,0
57,0
58,0.0611373
59,0.0611373
60,0.0948885
61,0.0948885
62,0.0614697
63,0.0614697
64,0
65,0
66,0.075153
67,0.075153
68,0.0608562
69,0.0608562
70,0
71,0
72,0
73,0
74,0.0751965
75,0.0751965
76,0
77,0
78,0.0611274
79,0.0611274
80,0
81,0
82,0
83,0
84,0.0610978
85,0.0610978
86,0.0749991
87,0.0749991
88,0.0749991
89,0.0749991
90,0.0610977
91,0.0610977
92,0
93,0
94,0.0611197
95,0.0611197
96,0
97,0
98,0
99,0
100,0.0611438
101,0.0611438
102,0
103,0
104,0.0610896
105,0.0610896
106,0
107,0
108,0
109,0
110,0
111,0
112,0.0611192
113,0.0611192
114,0
115,0
116,0
117,0
118,0.0611438
119,0.0611438
120,0
121,0
122,0.0611386
123,0.0611386
124,0
125,0
126,0.1957
127,0.1957
128,0
129,0
130,0.061125
131,0.061125
132,0.0613957
133,0.0613957
134,0
135,0
136,0.0286899
137,0.0286899
138,0
139,0
140,0.0611243
141,0.0611243
142,0.0613957
143,0.0613957
144,0.0613962
145,0.0613962
146,0.0615818
147,0.061389
148,0
149,0
150,0.0286781
151,0.112608
152,0.0865069
153,0.105907
154,0.0702437
155,0.0549417
156,0.129445
157,0.134018
158,0.192295
159,0.132051
160,0.0914958
161,0.199041
162,0.0359505
163,0.171357
164,0.0526993
165,0.0796376
166,0.0385583
167,0.133095
168,0.220906
169,0.18936
170,0.114794
171,0.0729425
172,0.321159
173,0.318537
174,0.132311
175,0.0251446
176,0.00477467
177,0.00476585
178,0.116681
179,0
180,0.154515
181,0.125093
182,0.121044
183,0.129677
184,0.130695
185,0.00839983
186,0.0626217
187,0.143529
188,0.00102291
189,0
190,0.0239439
191,0.00985115
192,0.1001
193,0
194,0.159987
195,0.0537202
196,0.0439264
197,0.0883776
198,0.00912541
199,0.0813031
200,0.0150211
201,0
202,0.0751197
203,0.124592
204,0.020738
205,0.103509
206,0.0261929
207,0.0323154
208,0.0583772
209,0.101853
210,0.0246041
211,0.0877887
212,0.109816
213,0.0799197
214,0.0495945
215,0.0383142
216,0.0375803
217,0.0532988
218,0.0472118
219,0.0412857
220,0.0409405
221,0.0631383
222,0.0465042
223,0.0464116
224,0.0702904
225,0.105598
226,0.0528649
227,0.0497561
228,0.0575791
229,0.0647197
230,0.059
231,0.0650305
232,0.0645425
233,0.0795529
234,0.100281
235,0.0893902
236,0.0726522
237,0.0842206
238,0.105896
239,0.105502
240,0.122632
241,0.0802306
242,0.127348
243,0.0803069
244,0.101144
245,0.0951936
246,0.104634
247,0.0934068
248,0.0903932
249,0.0945377
250,0.102461
251,0.152014
252,0.118701
253,0.12548
254,0.136785
255,0.121002
256,0.137285
257,0.137062
258,0.132024
259,0.112477
260,0.158335
261,0.122724
262,0.0517607
263,0.0697298
264,0.17352
265,0.153135
266,0.0971235
267,0.104885
268,0.0967823
269,0.0867305
270,0.113354
271,0.131252
272,0.0984518
273,0.126827
274,0.112034
275,0.120387
276,0.130806
277,0.132944
278,0.113187
279,0.15483
280,0.118827
281,0.145334
282,0.124941
283,0.136283
284,0.149556
285,0.10698
286,0.121016
287,0.138152
288,0.159323
289,0.158454
290,0.169286
291,0.168754
292,0.182638
293,0.180908
294,0.156754
295,0.168104
296,0.165863
297,0.173985
298,0.163153
299,0.180447
300,0.187725
301,0.204379
302,0.207133
303,0.242415
304,0.196576
305,0.187265
306,0.182168
307,0.197083
308,0.196299
309,0.202343
310,0.245682
311,0.196168
312,0.194693
313,0.199468
314,0.165358
315,0.141501
316,0.176241
317,0.163789
318,0.225328
319,0.219572
320,0.270974
321,0.248674
