t_idx,obstacle,path,alignment,goal,center
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0.010051,0,0,0
6,0,0.0100669,0,0,0
7,0,0.0100626,0,0,0
8,0,0.0100626,0,0,0
9,0,0.0100626,0,0,0
10,0,0.0100595,0,0,0
11,0,0,0,0,0
12,0,0.00785089,0,0,0
13,0,0.00222447,0,0,0
14,0,0.0612844,0.0505338,0,0
15,0,0.0363635,0.0191967,0,0
16,0,0.0261397,0.0226774,0,0
17,0,0.0646523,0.0522971,0,0
18,0,0.0330476,0.0379385,0,0
19,0,0.024235,0.0284154,0,0
20,0,0.0682506,0.0551861,0,0
21,0,0.0826047,0.0732064,0,0
22,0,0.0620338,0.0491916,0,0
23,0,0.0507432,0.0522784,0,0
24,0,0.00982118,0.0117024,0,0
25,0,0.00904559,0.0105112,0,0
26,0,0.0656761,0.0686384,0,0
27,0,0.0187496,0.0350391,0,0
28,0,0.0658305,0.0821959,0,0
29,0,0.0280207,0.0720648,0,0
30,0,0.0529042,0.104593,0,0
31,0,0.0432164,0.0405586,0.00486111,0.00865666
32,0,0.0320579,0.0247209,0.00283222,0.00520222
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0.0464943,0.0426287,0,0
36,0,0.0432027,0.0392557,0,0
37,0,0.0515701,0.0459365,0,0
38,0,0.0134814,0.0107898,0,0
39,0,0.00129216,0,0,0
40,0,0,0,0,0
41,0,0.00382077,0,0,0
42,0,0.00543055,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0.00963932,0.00955422,0,0
46,0,0.043659,0.0406281,0,0
47,0,0,0,0,0
48,0,0.00273392,0,0,0
49,0,0.025807,0.0078339,0.00698553,0.0133364
50,0,0.0104952,0.000955915,0,0
51,0,2.53616e-05,0,0,0
52,0,0.0145626,0.00195255,0.00104997,0.00174665
53,0,0.0102119,0.000394569,0.00212339,0.00394231
54,0,0.00171267,0.000673709,0,0
55,0,0.0354559,0.0110403,0.0254746,0.0457168
56,0,0.0212136,0.0030461,0.01805,0.0317407
57,0,0.0414045,0.0457037,0,0
58,0,0.00738482,0,0,0
59,0,0.00669106,0,0,0
60,0,0.0110953,0.010595,0,0
61,0,0.0477457,0.012669,0.0455788,0.0759846
62,0,0.0178038,0.0250425,0,0
63,0,0.0441393,0.0117812,0.0386013,0.0652336
64,0,0.0121687,0.0118978,0,0
65,0,0.045689,0.0110121,0.0438133,0.0737961
66,0,0.0345295,0.0433339,0,0
67,0,0.0178371,0.0249653,0,0
68,0,0.0341395,0.00918256,0.0385369,0.073487
69,0,0.0341395,0.00918256,0.0385369,0.073487
70,0,0.0341395,0.00918256,0.0385369,0.073487
71,0,0.0341395,0.00918256,0.0385369,0.073487
72,0,0.0341395,0.00918256,0.0385369,0.073487
73,0,0.0341395,0.00918256,0.0385369,0.073487
74,0,0.0341395,0.00918256,0.0385369,0.073487
75,0,0.0341395,0.00918256,0.0385369,0.073487
76,0,0.0341395,0.00918256,0.0385369,0.073487
77,0,0.0341395,0.00918256,0.0385369,0.073487
78,0,0.0341395,0.00918256,0.0385369,0.073487
79,0,0.0341395,0.00918256,0.0385369,0.073487
80,0,0.0341395,0.00918256,0.0385369,0.073487
81,0,0.0341395,0.00918256,0.0385369,0.073487
82,0,0.0341395,0.00918256,0.0385369,0.073487
83,0,0.0341395,0.00918256,0.0385369,0.073487
84,0,0.0341395,0.00918256,0.0385369,0.073487
85,0,0.0341395,0.00918256,0.0385369,0.073487
86,0,0.0341395,0.00918256,0.0385369,0.073487
87,0,0.0341395,0.00918256,0.0385369,0.073487
88,0,0.0341395,0.00918256,0.0385369,0.073487
89,0,0.0341395,0.00918256,0.0385369,0.073487
90,0,0.0341395,0.00918256,0.0385369,0.073487
91,0,0.0341395,0.00918256,0.0385369,0.073487
92,0,0.0341395,0.00918256,0.0385369,0.073487
93,0,0.0341395,0.00918256,0.0385369,0.073487
94,0,0.0341395,0.00918256,0.0385369,0.073487
95,0,0.0341395,0.00918256,0.0385369,0.073487
96,0,0.0341395,0.00918256,0.0385369,0.073487
97,0,0.0341395,0.00918256,0.0385369,0.073487
98,0,0.0341395,0.00918256,0.0385369,0.073487
99,0,0.0341395,0.00918256,0.0385369,0.073487
100,0,0.0341395,0.00918256,0.0385369,0.073487
101,0,0.0341395,0.00918256,0.0385369,0.073487
102,0,0.0341395,0.00918256,0.0385369,0.073487
103,0,0.0341395,0.00918256,0.0385369,0.073487
104,0,0.0341395,0.00918256,0.0385369,0.073487
105,0,0.0341395,0.00918256,0.0385369,0.073487
106,0,0.0341395,0.00918256,0.0385369,0.073487
107,0,0.0341395,0.00918256,0.0385369,0.073487
108,0,0.0341395,0.00918256,0.0385369,0.073487
109,0,0.0341395,0.00918256,0.0385369,0.073487
110,0,0.0341395,0.00918256,0.0385369,0.073487
111,0,0.0341395,0.00918256,0.0385369,0.073487
112,0,0.0341395,0.00918256,0.0385369,0.073487
113,0,0.0341395,0.00918256,0.0385369,0.073487
114,0,0.0341395,0.00918256,0.0385369,0.073487
115,0,0.0341395,0.00918256,0.0385369,0.073487
116,0,0.0341395,0.00918256,0.0385369,0.073487
117,0,0.0341395,0.00918256,0.0385369,0.073487
118,0,0.0341395,0.00918256,0.0385369,0.073487
119,0,0.0341395,0.00918256,0.0385369,0.073487
120,0,0.0341395,0.00918256,0.0385369,0.073487
121,0,0.0341395,0.00918256,0.0385369,0.073487
122,0,0.0341395,0.00918256,0.0385369,0.073487
123,0,0.0341395,0.00918256,0.0385369,0.073487
124,0,0.0341395,0.00918256,0.0385369,0.073487
125,0,0.0341395,0.00918256,0.0385369,0.073487
126,0,0.0341395,0.00918256,0.0385369,0.073487
127,0,0.0341395,0.00918256,0.0385369,0.073487
128,0,0.0341395,0.00918256,0.0385369,0.073487
129,0,0.0341395,0.00918256,0.0385369,0.073487
130,0,0.0341395,0.00918256,0.0385369,0.073487
131,0,0.0341395,0.00918256,0.0385369,0.073487
132,0,0.0341395,0.00918256,0.0385369,0.073487
133,0,0.0341395,0.00918256,0.0385369,0.073487
134,0,0.0341395,0.00918256,0.0385369,0.073487
135,0,0.0341395,0.00918256,0.0385369,0.073487
136,0,0.0341395,0.00918256,0.0385369,0.073487
137,0,0.0341395,0.00918256,0.0385369,0.073487
138,0,0.0341395,0.00918256,0.0385369,0.073487
139,0,0.0341395,0.00918256,0.0385369,0.073487
140,0,0.0341395,0.00918256,0.0385369,0.073487
141,0,0.0341395,0.00918256,0.0385369,0.073487
142,0,0.0341395,0.00918256,0.0385369,0.073487
143,0,0.0341395,0.00918256,0.0385369,0.073487
144,0,0.0341395,0.00918256,0.0385369,0.073487
145,0,0.0341395,0.00918256,0.0385369,0.073487
146,0,0.0341395,0.00918256,0.0385369,0.073487
147,0,0.0341395,0.00918256,0.0385369,0.073487
148,0,0.0341395,0.00918256,0.0385369,0.073487
149,0,0.0341395,0.00918256,0.0385369,0.073487
150,0,0.0341395,0.00918256,0.0385369,0.073487
151,0,0.0341395,0.00918256,0.0385369,0.073487
152,0,0.0341395,0.00918256,0.0385369,0.073487
153,0,0.0341395,0.00918256,0.0385369,0.073487
154,0,0.0341395,0.00918256,0.0385369,0.073487
155,0,0.0341395,0.00918256,0.0385369,0.073487
156,0,0.0341395,0.00918256,0.0385369,0.073487
157,0,0.0341395,0.00918256,0.0385369,0.073487
158,0,0.0341395,0.00918256,0.0385369,0.073487
159,0,0.0341395,0.00918256,0.0385369,0.073487
160,0,0.0341395,0.00918256,0.0385369,0.073487
161,0,0.0341395,0.00918256,0.0385369,0.073487
162,0,0.0341395,0.00918256,0.0385369,0.073487
163,0,0.0341395,0.00918256,0.0385369,0.073487
164,0,0.0341395,0.00918256,0.0385369,0.073487
165,0,0.0341395,0.00918256,0.0385369,0.073487
166,0,0.0341395,0.00918256,0.0385369,0.073487
167,0,0.0341395,0.00918256,0.0385369,0.073487
168,0,0.0341395,0.00918256,0.0385369,0.073487
169,0,0.0341395,0.00918256,0.0385369,0.073487
170,0,0.0341395,0.00918256,0.0385369,0.073487
171,0,0.0341395,0.00918256,0.0385369,0.073487
172,0,0.0341395,0.00918256,0.0385369,0.073487
173,0,0.0341395,0.00918256,0.0385369,0.073487
174,0,0.0341395,0.00918256,0.0385369,0.073487
175,0,0.0341395,0.00918256,0.0385369,0.073487
176,0,0.0341395,0.00918256,0.0385369,0.073487
177,0,0.0341395,0.00918256,0.0385369,0.073487
178,0,0.0341395,0.00918256,0.0385369,0.073487
179,0,0.0341395,0.00918256,0.0385369,0.073487
180,0,0.0341395,0.00918256,0.0385369,0.073487
181,0,0.0341395,0.00918256,0.0385369,0.073487
182,0,0.0341395,0.00918256,0.0385369,0.073487
183,0,0.0341395,0.00918256,0.0385369,0.073487
184,0,0.0341395,0.00918256,0.0385369,0.073487
185,0,0.0341395,0.00918256,0.0385369,0.073487
186,0,0.0341395,0.00918256,0.0385369,0.073487
187,0,0.0341395,0.00918256,0.0385369,0.073487
188,0,0.0341395,0.00918256,0.0385369,0.073487
