t_idx,v,w
0,0.221594,0.051708
1,0.273046,0.164926
2,0.209611,-0.0581552
3,0.209834,0.0953529
4,0.211972,0.0899526
5,0.190563,-0.10054
6,0.190003,-0.0783933
7,0.186405,-0.0184195
8,0.169858,-0.0904661
9,0.168028,-0.0566376
10,0.172749,-0.105299
11,0.211789,-0.258793
12,0.139676,-0.023851
13,0.208986,-0.25251
14,0.194315,-0.25041
15,0.210756,-0.273796
16,0.190783,-0.262112
17,0.166612,-0.254621
18,0.185299,-0.284094
19,0.205101,-0.296979
20,0.155574,-0.242909
21,0.149925,-0.209085
22,0.149453,0.23643
23,0.145204,0.253528
24,0.181709,0.300095
25,0.152285,0.262067
26,0.172176,0.301499
27,0.151462,0.217785
28,0.151659,0.20733
29,0.147633,0.204008
30,0.143332,0.148882
31,0.179988,0.216915
32,0.154062,0.184121
33,0.415021,0.177666
34,0.418076,0.187257
35,0.147246,0.213757
36,0.146732,0.201026
37,0.386686,0.155334
38,0.160947,0.229636
39,0.416565,0.174515
40,0.3755,0.151511
41,0.421896,0.169672
42,0,0
43,0.132224,0.298745
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0.15796,0.562517
80,0.0649178,-0.182164
81,0.0894287,-0.314322
82,0.097445,-0.51415
83,0.0428798,-0.181202
84,0.0418239,-0.185364
85,0.0423525,-0.155415
86,0.0218104,-0.247986
87,0.0358074,0.00793178
88,0.0384484,0.0274345
89,0.0190537,-0.0135608
90,0.0202934,0.00672567
91,0.0204639,0.0142055
92,0.0607847,0.0723065
93,0,0
94,0.0443711,-0.162585
95,0.0607691,-0.120014
96,0.0924403,-0.52578
97,0.101819,-0.544599
98,0.0381995,-0.209221
99,0.0892224,-0.474015
100,0.0477039,-0.49738
101,0.0727221,-0.422424
102,0.0815377,-0.43832
103,0.0791985,-0.447932
104,0.0903617,-0.486306
105,0.0755546,-0.396622
106,0.100676,-0.532355
107,0.0611075,-0.316608
108,0.0607703,-0.313463
109,0.0838982,-0.439215
110,0,0
111,0,0
112,0.0408961,-0.498614
113,0.0365085,-0.44273
114,0.0180735,-0.279035
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0.173462,-0.272009
138,0.173393,-0.237117
139,0.176347,-0.221301
140,0.172406,-0.194925
141,0.168921,-0.168599
142,0.173019,-0.125208
143,0.16638,-0.122899
144,0.161839,-0.146922
145,0.16479,-0.112087
146,0.167324,-0.072965
147,0.167505,-0.0656307
148,0.163976,-0.0876255
149,0.162131,-0.0581273
150,0.198902,-0.021783
151,0.199784,-0.0237478
152,0.216104,0.00921069
