t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
0,1756708094.283802,1.373359,0.350338,0.189618,0.221594,0.099327,"odom"
1,1756708094.350441,1.404498,0.355516,0.197436,0.215903,0.117307,"odom"
2,1756708094.417123,1.422006,0.359114,0.206263,0.209611,0.132321,"odom"
3,1756708094.483747,1.433793,0.360985,0.214741,0.209834,0.142972,"odom"
4,1756708094.550481,1.449294,0.372504,0.225673,0.211972,0.137572,"odom"
5,1756708094.617150,1.466748,0.376623,0.235730,0.209611,0.137556,"odom"
6,1756708094.683812,1.491168,0.380588,0.243395,0.247146,0.112083,"odom"
7,1756708094.750552,1.490713,0.379705,0.249796,0.262596,0.076819,"odom"
8,1756708094.817132,1.512560,0.385352,0.254552,0.303191,0.052391,"odom"
9,1756708094.883951,1.536346,0.388857,0.256999,0.282314,0.038600,"odom"
10,1756708094.950479,1.551859,0.417354,0.264146,0.287035,0.037558,"odom"
11,1756708095.017113,1.575797,0.423875,0.266874,0.287979,0.026921,"odom"
12,1756708095.083809,1.593230,0.434653,0.269425,0.273010,0.023768,"odom"
13,1756708095.150463,1.616150,0.441024,0.271990,0.304224,0.033204,"odom"
14,1756708095.217126,1.638774,0.444069,0.274355,0.308601,0.035304,"odom"
15,1756708095.283812,1.658290,0.449589,0.275685,0.305994,0.011918,"odom"
16,1756708095.350465,1.669377,0.456072,0.278095,0.286021,0.023603,"odom"
17,1756708095.417132,1.693017,0.462854,0.279996,0.280898,0.031094,"odom"
18,1756708095.483797,1.701952,0.481325,0.285566,0.280537,0.049239,"odom"
19,1756708095.552113,1.726312,0.475553,0.286613,0.319386,0.036354,"odom"
20,1756708095.617130,1.749511,0.482435,0.289300,0.288907,0.042805,"odom"
21,1756708095.683919,1.764512,0.492107,0.292695,0.283258,0.029010,"odom"
22,1756708095.750485,1.788524,0.504407,0.296043,0.282786,0.045954,"odom"
23,1756708095.817112,1.812004,0.511644,0.300592,0.278537,0.063052,"odom"
24,1756708095.883817,1.830284,0.522211,0.305217,0.315043,0.061999,"odom"
25,1756708095.950475,1.851431,0.533527,0.310694,0.285619,0.071591,"odom"
26,1756708096.017125,1.875159,0.541252,0.317568,0.286461,0.111023,"odom"
27,1756708096.083797,1.879888,0.558082,0.328266,0.265748,0.122547,"odom"
28,1756708096.150470,1.901856,0.565689,0.336325,0.284993,0.112092,"odom"
29,1756708096.217127,1.917927,0.575223,0.345173,0.280967,0.108770,"odom"
30,1756708096.283805,1.937511,0.582359,0.351718,0.276665,0.101263,"odom"
31,1756708096.351485,1.966103,0.589877,0.358785,0.313321,0.121677,"odom"
32,1756708096.417124,1.988890,0.598563,0.367816,0.287396,0.136502,"odom"
33,1756708096.483971,2.014305,0.608694,0.376164,0.281688,0.130047,"odom"
34,1756708096.550486,2.025227,0.617525,0.386860,0.284742,0.139638,"odom"
35,1756708096.617185,2.048124,0.627001,0.396081,0.280580,0.118519,"odom"
36,1756708096.683810,2.066930,0.655148,0.406979,0.280065,0.105788,"odom"
37,1756708096.750456,2.080023,0.645969,0.411322,0.272400,0.107715,"odom"
38,1756708096.817120,2.101670,0.655540,0.419888,0.275232,0.134398,"odom"
39,1756708096.883818,2.123157,0.656439,0.426215,0.283232,0.126896,"odom"
40,1756708096.950454,2.142825,0.675061,0.437847,0.280261,0.151511,"odom"
41,1756708097.017152,2.164563,0.685411,0.449024,0.288563,0.169672,"odom"
42,1756708097.083821,2.180187,0.711535,0.463335,0.280357,0.167411,"odom"
43,1756708097.151488,2.200821,0.711315,0.474681,0.265557,0.203506,"odom"
44,1756708097.217153,2.221702,0.722268,0.489031,0.282786,0.199339,"odom"
45,1756708097.283888,2.246239,0.723906,0.498669,0.289602,0.188701,"odom"
46,1756708097.350492,2.266596,0.722931,0.509411,0.290408,0.187654,"odom"
47,1756708097.417140,2.288415,0.735351,0.523072,0.287756,0.186612,"odom"
48,1756708097.483824,2.307010,0.742752,0.534183,0.295533,0.197245,"odom"
49,1756708097.550467,2.328358,0.755615,0.547968,0.292726,0.196193,"odom"
50,1756708097.617140,2.349718,0.768899,0.562486,0.290271,0.205789,"odom"
51,1756708097.683817,2.369608,0.791566,0.576388,0.278649,0.183290,"odom"
52,1756708097.750454,2.391970,0.800342,0.588162,0.299080,0.188877,"odom"
53,1756708097.817132,2.412032,0.813945,0.600972,0.271059,0.166381,"odom"
54,1756708097.883823,2.423977,0.801534,0.607916,0.273567,0.183283,"odom"
55,1756708097.950604,2.434097,0.816772,0.622770,0.284547,0.189745,"odom"
56,1756708098.017141,2.453914,0.831241,0.636129,0.295379,0.182414,"odom"
57,1756708098.083884,2.467912,0.872684,0.653114,0.291284,0.181354,"odom"
58,1756708098.150467,2.479937,0.859261,0.659743,0.303370,0.144016,"odom"
59,1756708098.217116,2.498891,0.874138,0.669559,0.283078,0.136488,"odom"
60,1756708098.283804,2.520121,0.890720,0.677399,0.286520,0.133337,"odom"
61,1756708098.350458,2.539516,0.906475,0.685434,0.326648,0.102462,"odom"
62,1756708098.417135,2.560127,0.912546,0.689959,0.290812,0.080119,"odom"
63,1756708098.483805,2.566568,0.933658,0.697999,0.298657,0.091811,"odom"
64,1756708098.550477,2.585820,0.949950,0.705850,0.300641,0.120430,"odom"
65,1756708098.617123,2.605218,0.966652,0.714516,0.298073,0.116241,"odom"
66,1756708098.683842,2.614481,0.997947,0.725815,0.300100,0.113103,"odom"
67,1756708098.750955,2.624020,1.021084,0.736230,0.287242,0.098103,"odom"
68,1756708098.817168,2.642163,1.037656,0.742765,0.285507,0.085372,"odom"
69,1756708098.883928,2.650677,1.049651,0.748261,0.279773,0.071584,"odom"
70,1756708098.950454,2.673938,1.056704,0.750034,0.276039,0.061972,"odom"
71,1756708099.017112,2.691557,1.073213,0.754948,0.294349,0.076989,"odom"
72,1756708099.083819,2.713447,1.078934,0.757776,0.309486,0.100193,"odom"
73,1756708099.150456,2.731132,1.095821,0.765513,0.307601,0.116263,"odom"
