t_idx,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20,cost_21,cost_22,cost_23,cost_24,cost_25,cost_26,cost_27,cost_28,cost_29,cost_30,cost_31,cost_32,cost_33,cost_34,cost_35,cost_36,cost_37,cost_38,cost_39,cost_40,cost_41,cost_42,cost_43,cost_44,cost_45,cost_46,cost_47,cost_48,cost_49,cost_50,cost_51,cost_52,cost_53,cost_54,cost_55,cost_56,cost_57,cost_58,cost_59,cost_60,cost_61,cost_62,cost_63,cost_64,cost_65,cost_66,cost_67,cost_68,cost_69,cost_70,cost_71,cost_72,cost_73,cost_74,cost_75,cost_76,cost_77,cost_78,cost_79,cost_80,cost_81,cost_82,cost_83,cost_84,cost_85,cost_86,cost_87,cost_88,cost_89,cost_90,cost_91,cost_92,cost_93,cost_94,cost_95,cost_96,cost_97,cost_98,cost_99,cost_100,cost_101,cost_102,cost_103,cost_104,cost_105,cost_106,cost_107,cost_108,cost_109,cost_110,cost_111,cost_112,cost_113,cost_114,cost_115,cost_116,cost_117,cost_118,cost_119,cost_120,cost_121,cost_122,cost_123,cost_124,cost_125,cost_126,cost_127,cost_128,cost_129,cost_130,cost_131,cost_132,cost_133,cost_134,cost_135,cost_136,cost_137,cost_138,cost_139,cost_140,cost_141,cost_142,cost_143,cost_144,cost_145,cost_146,cost_147,cost_148,cost_149,cost_150,cost_151,cost_152,cost_153,cost_154,cost_155,cost_156,cost_157,cost_158,cost_159,cost_160,cost_161,cost_162,cost_163,cost_164,cost_165,cost_166,cost_167,cost_168,cost_169,cost_170,cost_171,cost_172,cost_173,cost_174,cost_175,cost_176,cost_177,cost_178,cost_179,cost_180,cost_181,cost_182,cost_183,cost_184,cost_185,cost_186,cost_187,cost_188,cost_189,cost_190,cost_191,cost_192,cost_193,cost_194,cost_195,cost_196,cost_197,cost_198,cost_199,cost_200,cost_201,cost_202,cost_203,cost_204,cost_205,cost_206,cost_207,cost_208,cost_209,cost_210,cost_211,cost_212,cost_213,cost_214,cost_215,cost_216,cost_217,cost_218,cost_219,cost_220,cost_221,cost_222,cost_223,cost_224
0,0.549718,0.526712,0.507563,0.493409,0.485157,0.643427,0.48816,0.499226,0.515839,0.536979,0.561447,0.587978,0.615328,0.642338,0.667973,0.523639,0.497703,0.476102,0.460127,0.450817,0.448816,0.454272,0.466812,0.485605,0.509484,0.537091,0.56701,0.597861,0.628369,0.657399,0.497882,0.468927,0.444781,0.426906,0.416489,0.414271,0.420421,0.434507,0.455572,0.482285,0.513118,0.546491,0.580885,0.614908,0.64733,0.472468,0.440401,0.413613,0.393752,0.382173,0.379728,0.38661,0.40232,0.425754,0.455403,0.489548,0.526442,0.56442,0.601972,0.637776,0.44742,0.412144,0.38261,0.36067,0.34787,0.345187,0.352844,0.37026,0.39617,0.428859,0.466408,0.506887,0.548485,0.589576,0.62875,0.422762,0.384179,0.351787,0.327669,0.313581,0.310649,0.319127,0.338342,0.36684,0.40268,0.443722,0.487849,0.5331,0.577736,0.620261,0.39852,0.356527,0.321162,0.294756,0.279308,0.276114,0.285465,0.306578,0.337785,0.37689,0.421518,0.469354,0.518287,0.566467,0.612319,0.374723,0.329215,0.290752,0.28337,0.287911,0.284439,0.251863,0.274983,0.309028,0.35152,0.399825,0.451427,0.504066,0.555784,0.604936,0.3514,0.302269,0.303436,0.314949,0.339391,0.335626,0.261185,0.286433,0.280597,0.326599,0.378673,0.434095,0.490457,0.545702,0.59812,0.328584,0.318578,0.359237,inf,inf,0.365388,0.31344,0.340947,0.295378,0.302161,0.358095,0.417385,0.477482,0.536236,0.591879,0.306307,0.399604,0.415324,inf,inf,inf,inf,0.352833,0.353404,0.278242,0.338123,0.401325,0.465161,0.5274,0.586223,0.39175,0.43824,inf,inf,inf,inf,inf,0.407831,0.347567,0.25488,0.318793,0.385944,0.453516,0.519207,0.581159,0.456379,0.498811,inf,inf,inf,inf,inf,inf,inf,0.296403,0.300142,0.371268,0.442566,0.51167,0.576694,0.478806,inf,inf,inf,inf,inf,inf,inf,inf,0.33857,0.282207,0.357329,0.43233,0.5048,0.572834,0.480503,inf,inf,inf,inf,inf,inf,inf,inf,0.338569,0.286455,0.344153,0.422829,0.498611,0.569584
1,0.539316,0.518697,0.502276,0.491061,0.485787,0.636087,0.494091,0.50713,0.525111,0.546968,0.571512,0.597524,0.623831,0.649359,0.67316,0.51164,0.488305,0.469717,0.457026,0.451075,0.452286,0.460584,0.475414,0.495829,0.520613,0.548422,0.577894,0.607728,0.636741,0.663895,0.484239,0.458099,0.437257,0.423022,0.416365,0.417767,0.427141,0.443845,0.466788,0.494592,0.525745,0.558734,0.592128,0.624636,0.655131,0.457132,0.428091,0.404903,0.389054,0.381656,0.383262,0.39377,0.412435,0.438007,0.468927,0.503503,0.540065,0.577049,0.613056,0.646876,0.430341,0.398298,0.372665,0.355125,0.346948,0.348773,0.360476,0.381197,0.409506,0.443641,0.481721,0.52191,0.56251,0.602017,0.63914,0.403888,0.368739,0.340555,0.321238,0.312242,0.314301,0.327267,0.350147,0.381307,0.418761,0.460425,0.504291,0.548528,0.591531,0.631932,0.377796,0.339433,0.308585,0.287399,0.277537,0.279847,0.294153,0.319302,0.353432,0.394312,0.439639,0.487231,0.535123,0.581611,0.625259,0.352094,0.310402,0.276768,0.276688,0.265912,0.268491,0.261142,0.288682,0.32591,0.370325,0.419393,0.470754,0.522312,0.572272,0.619131,0.326809,0.304746,0.291274,0.289113,0.300442,0.303313,0.274399,0.258308,0.298768,0.346829,0.399715,0.454884,0.510114,0.563524,0.613555,0.301973,0.322494,0.35212,inf,0.381129,0.361238,0.333939,0.320512,0.272038,0.323858,0.380635,0.439646,0.498548,0.55538,0.608536,0.323772,0.386751,0.413173,inf,inf,inf,0.347467,0.383013,0.245753,0.301448,0.362185,0.425064,0.48763,0.547852,0.604083,0.41532,0.428319,inf,inf,inf,inf,inf,0.399688,0.289184,0.279634,0.344397,0.411165,0.477379,0.540951,0.600199,0.484347,inf,inf,inf,inf,inf,inf,inf,0.356216,0.281535,0.327303,0.397972,0.467812,0.534686,0.596892,0.484742,inf,inf,inf,inf,inf,inf,inf,0.377663,0.284114,0.310939,0.38551,0.458945,0.529068,0.594163,0.48578,inf,inf,inf,inf,inf,inf,inf,0.376651,0.287416,0.295338,0.373805,0.450793,0.524105,0.592018
2,0.534298,0.515846,0.50178,0.492984,0.630284,0.49316,0.502142,0.516405,0.535072,0.557071,0.581238,0.60641,0.631482,0.655453,0.677452,0.505276,0.484306,0.468323,0.458341,0.455034,0.45864,0.468925,0.485216,0.506503,0.531563,0.559087,0.58777,0.616389,0.643838,0.669161,0.476491,0.452912,0.434935,0.423714,0.420027,0.424147,0.435798,0.454204,0.478206,0.506418,0.53737,0.569615,0.601806,0.632736,0.661365,0.447959,0.421678,0.40162,0.389104,0.38502,0.389683,0.402771,0.423385,0.450202,0.481657,0.51611,0.551965,0.58775,0.622159,0.654072,0.4197,0.390617,0.368387,0.354512,0.350014,0.355253,0.369852,0.392775,0.422513,0.457305,0.495331,0.53484,0.574238,0.61212,0.64729,0.391734,0.359743,0.335244,0.319941,0.315009,0.320859,0.337051,0.362391,0.395161,0.433387,0.475056,0.518263,0.561287,0.60263,0.641027,0.364083,0.329073,0.302198,0.285393,0.280004,0.286504,0.30438,0.332253,0.368172,0.40993,0.455312,0.502254,0.548913,0.593702,0.635289,0.336772,0.298626,0.26926,0.25087,0.268077,0.275271,0.271851,0.302382,0.341573,0.386962,0.436125,0.486836,0.537133,0.585346,0.630084,0.309828,0.291498,0.282596,0.262529,0.279228,0.287164,0.285633,0.29588,0.315393,0.364514,0.417523,0.472031,0.525964,0.577573,0.625416,0.306357,0.307714,0.342217,inf,inf,inf,0.345744,0.33585,0.289665,0.342618,0.399534,0.457862,0.515421,0.570393,0.621293,0.349467,inf,0.425062,inf,inf,inf,0.38297,0.376168,0.2875,0.321309,0.382186,0.44435,0.505521,0.563817,0.617718,0.39304,inf,inf,inf,inf,inf,inf,0.370714,0.332013,0.300621,0.365511,0.431519,0.496278,0.557854,0.614696,0.460189,inf,inf,inf,inf,inf,inf,inf,0.354014,0.326747,0.349537,0.419392,0.487707,0.552511,0.612231,0.481725,inf,inf,inf,inf,inf,inf,inf,0.376624,0.353571,0.334297,0.407989,0.479823,0.547796,0.610326,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.358057,0.319821,0.397332,0.472639,0.543717,0.608982
3,0.526454,0.509082,0.496322,0.488987,0.627624,0.492187,0.502529,0.517941,0.537488,0.560073,0.58453,0.609709,0.634533,0.658036,0.679384,0.496813,0.477072,0.462579,0.454268,0.45271,0.458025,0.469866,0.487467,0.509757,0.535488,0.563347,0.592052,0.620408,0.647351,0.671967,0.467383,0.445186,0.428887,0.419556,0.41785,0.423905,0.437315,0.457196,0.482324,0.511286,0.542615,0.574889,0.606798,0.637178,0.665038,0.43818,0.413435,0.395251,0.384852,0.382994,0.38983,0.404886,0.427144,0.45521,0.487491,0.522356,0.558241,0.593717,0.627527,0.658604,0.409222,0.381829,0.361675,0.350158,0.348142,0.355803,0.37259,0.39733,0.428437,0.464126,0.502593,0.542126,0.581181,0.618409,0.652673,0.380527,0.350382,0.328167,0.315473,0.313295,0.321831,0.340439,0.367771,0.402029,0.441217,0.483349,0.526565,0.569206,0.609835,0.647251,0.352118,0.319108,0.294731,0.305799,0.303453,0.287919,0.308447,0.338491,0.376012,0.418791,0.464649,0.511579,0.557807,0.601816,0.642343,0.324016,0.338024,0.311377,0.321137,0.343617,0.279073,0.27663,0.309512,0.350415,0.396876,0.44652,0.497188,0.547,0.594361,0.637956,0.371247,0.382147,0.403113,inf,0.408787,0.3953,0.345005,0.33086,0.325267,0.375503,0.428986,0.483413,0.536799,0.58748,0.634094,0.41884,inf,0.494948,inf,inf,inf,0.413591,0.377564,0.300602,0.354702,0.412076,0.470274,0.527219,0.581181,0.630762,0.491824,inf,inf,inf,inf,inf,0.432412,0.424657,0.301454,0.334507,0.395816,0.457794,0.518273,0.575474,0.627963,inf,inf,inf,inf,inf,inf,inf,0.447172,0.377862,0.314952,0.380234,0.445991,0.509976,0.570365,0.6257,inf,inf,inf,inf,inf,inf,inf,inf,0.429865,0.321073,0.36536,0.434887,0.502341,0.565862,0.623978,inf,inf,inf,inf,inf,inf,inf,inf,0.432507,0.327908,0.351221,0.4245,0.495378,0.56197,0.622796,inf,inf,inf,inf,inf,inf,inf,inf,0.460834,0.385494,0.337846,0.414851,0.489101,0.558697,0.622158
4,0.52525,0.507553,0.494478,0.486861,0.628568,0.489678,0.499954,0.51539,0.535054,0.557839,0.582567,0.608077,0.633278,0.65719,0.678967,0.495815,0.475745,0.460928,0.452322,0.450522,0.455671,0.467435,0.485054,0.507455,0.533382,0.561509,0.590541,0.61927,0.646618,0.671658,0.466589,0.44406,0.427428,0.41779,0.415829,0.421706,0.43503,0.454923,0.480158,0.509313,0.540907,0.573505,0.605782,0.636563,0.664841,0.437589,0.412509,0.393984,0.383266,0.38114,0.387787,0.402748,0.425014,0.453184,0.485656,0.520784,0.556989,0.592829,0.627034,0.658525,0.408831,0.381102,0.3606,0.348751,0.346455,0.353917,0.370602,0.395346,0.426555,0.462434,0.501161,0.541012,0.580427,0.618045,0.652717,0.380336,0.349854,0.327283,0.314246,0.311776,0.320103,0.338603,0.365937,0.400296,0.439674,0.482064,0.525595,0.568591,0.609605,0.647422,0.352124,0.318778,0.294038,0.302828,0.300178,0.309426,0.306766,0.33681,0.374434,0.417402,0.463518,0.510759,0.557338,0.601725,0.642648,0.324218,0.334045,0.330106,0.337576,0.334741,0.34497,0.275106,0.307988,0.348996,0.395648,0.445548,0.496524,0.546682,0.594414,0.638398,0.365873,0.372595,0.412416,inf,0.415464,0.403666,0.335949,0.325653,0.324014,0.374442,0.428181,0.482912,0.536638,0.587683,0.634678,0.407887,inf,inf,inf,inf,inf,0.397006,0.389833,0.299522,0.353815,0.411444,0.469943,0.527221,0.58154,0.631493,0.473367,inf,inf,inf,inf,inf,0.458302,0.43133,0.321707,0.333802,0.395365,0.457639,0.518444,0.575993,0.628845,inf,inf,inf,inf,inf,inf,inf,0.45018,0.390609,0.314437,0.379972,0.446019,0.510322,0.57105,0.626739,inf,inf,inf,inf,inf,inf,inf,inf,0.413962,0.318833,0.365293,0.435104,0.502867,0.566717,0.625177,inf,inf,inf,inf,inf,inf,inf,inf,0.437961,0.370105,0.351357,0.424913,0.496091,0.563001,0.62416,inf,inf,inf,inf,inf,inf,inf,inf,0.485732,0.399059,0.338193,0.415467,0.490005,0.559907,0.623689
5,0.525827,0.508581,0.495947,0.488737,0.627225,0.492171,0.502619,0.518126,0.537759,0.560419,0.584942,0.610178,0.63505,0.658592,0.679972,0.496012,0.476432,0.462106,0.453963,0.452571,0.458046,0.470034,0.48777,0.510182,0.536019,0.56397,0.592753,0.621175,0.648171,0.672828,0.466397,0.444399,0.42831,0.419195,0.417704,0.423967,0.437571,0.457629,0.482915,0.512015,0.543462,0.575835,0.607825,0.638271,0.666181,0.436998,0.412491,0.394564,0.384432,0.382842,0.389939,0.405238,0.427718,0.45598,0.488431,0.523439,0.559443,0.595016,0.628903,0.660038,0.40783,0.380718,0.360871,0.349676,0.347987,0.355966,0.373049,0.398057,0.429399,0.465291,0.503926,0.543598,0.582764,0.620079,0.654406,0.378914,0.349093,0.327238,0.314927,0.313139,0.322055,0.341016,0.368666,0.403199,0.442621,0.484946,0.52832,0.571085,0.611809,0.649292,0.350268,0.317629,0.29367,0.305185,0.303299,0.313212,0.309155,0.339566,0.377405,0.42045,0.466525,0.513629,0.559992,0.604103,0.644701,0.321915,0.311342,0.310173,0.320452,0.368468,0.329443,0.35248,0.360784,0.352046,0.398805,0.448688,0.499545,0.549503,0.59697,0.640638,0.343879,0.380248,0.376757,inf,inf,inf,0.396012,0.407345,0.327154,0.377717,0.431461,0.486091,0.53963,0.590421,0.637108,0.366187,0.424367,inf,inf,inf,inf,0.46477,0.479279,0.427761,0.357218,0.414872,0.473285,0.530389,0.584463,0.634114,0.413868,0.493721,inf,inf,inf,inf,inf,0.52662,0.478904,0.337341,0.398947,0.46115,0.521792,0.579105,0.631662,0.461955,inf,inf,inf,inf,inf,inf,inf,0.53062,0.418121,0.383716,0.449704,0.513854,0.574353,0.629752,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.474594,0.369205,0.438968,0.506587,0.570215,0.628388,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.556797,0.405444,0.428962,0.500002,0.566696,0.627572,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.564767,0.51746,0.419703,0.49411,0.5638,0.627303
6,0.508384,0.485602,0.467709,0.455848,0.450839,0.643281,0.462377,0.478172,0.499439,0.524925,0.553269,0.583112,0.613174,0.642297,0.669477,0.482612,0.457269,0.437353,0.424162,0.418636,0.421205,0.431709,0.44943,0.473215,0.501645,0.5332,0.566378,0.599778,0.632148,0.662406,0.457098,0.429103,0.407081,0.392499,0.386433,0.389374,0.40113,0.42087,0.447274,0.47874,0.513578,0.550136,0.586896,0.622511,0.655826,0.43186,0.40112,0.3769,0.360861,0.35423,0.357569,0.37065,0.392509,0.421637,0.456234,0.494425,0.534409,0.574546,0.613399,0.649743,0.406919,0.373335,0.346819,0.329249,0.347027,0.350794,0.340279,0.364363,0.396328,0.434152,0.475767,0.519217,0.562744,0.604822,0.644166,0.382296,0.345765,0.366849,0.372668,0.364825,0.369052,0.385027,0.386454,0.396371,0.412521,0.457628,0.504581,0.551505,0.596793,0.639101,0.358017,0.39343,0.412001,inf,inf,inf,inf,0.433801,0.421796,0.41637,0.440037,0.490524,0.540847,0.589321,0.634554,0.359108,0.466352,0.482288,inf,inf,inf,inf,inf,0.497631,0.420731,0.423019,0.477068,0.530785,0.582418,0.63053,0.410597,0.514554,inf,inf,inf,inf,inf,inf,0.57391,0.500635,0.406604,0.464235,0.521335,0.576093,0.627035,0.462517,inf,inf,inf,inf,inf,inf,inf,inf,0.531117,0.465821,0.452046,0.512513,0.570356,0.624073,0.514899,inf,inf,inf,inf,inf,inf,inf,inf,0.612213,0.550699,0.440525,0.504332,0.565214,0.621648,0.542782,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.561268,0.479692,0.496808,0.560676,0.619764,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.57256,0.54457,0.489952,0.556748,0.618421,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.584604,0.560178,0.508778,0.553437,0.617623,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.622432,0.601536,0.528296,0.550748,0.617371
7,0.523192,0.49581,0.472733,0.455367,0.44488,0.656863,0.447094,0.459699,0.479008,0.503798,0.532637,0.564037,0.596553,0.628859,0.659779,0.499999,0.469773,0.444269,0.425066,0.413493,0.410429,0.416145,0.430245,0.451749,0.479264,0.511182,0.545852,0.581696,0.617277,0.651335,0.477125,0.443971,0.415948,0.394827,0.382116,0.37882,0.385242,0.40092,0.424722,0.455064,0.490146,0.528148,0.567354,0.60622,0.643403,0.454593,0.418423,0.387784,0.364657,0.35075,0.347214,0.354391,0.371737,0.397946,0.431221,0.469555,0.510949,0.553548,0.595702,0.635992,0.432424,0.393149,0.359791,0.384561,0.369397,0.390613,0.398597,0.392708,0.396442,0.407761,0.449434,0.494279,0.540297,0.585739,0.629113,0.410643,0.36817,0.406984,0.429548,inf,inf,inf,0.46385,0.470234,0.459713,0.429814,0.478161,0.527621,0.576344,0.622773,0.389277,0.393513,0.479383,inf,inf,inf,inf,inf,0.519349,0.537107,0.435722,0.462623,0.515539,0.56753,0.616982,0.368353,0.444202,0.527007,inf,inf,inf,inf,inf,inf,0.564975,0.492189,0.447689,0.504071,0.559313,0.611747,0.397902,0.495267,inf,inf,inf,inf,inf,inf,inf,inf,0.54925,0.433387,0.493237,0.551703,0.607077,0.502954,0.52174,inf,inf,inf,inf,inf,inf,inf,inf,0.581936,0.519743,0.483056,0.544714,0.602977,0.483544,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.590282,0.581783,0.473546,0.538358,0.599453,0.539708,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.594535,0.539725,0.532643,0.596511,0.521483,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.608026,0.581612,0.527582,0.594154,0.553908,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.622282,0.574222,0.548182,0.592388,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.637328,0.61757,0.594452,0.591213
8,0.522643,0.48931,0.459986,0.436419,0.420216,0.42928,0.675372,0.441718,0.444201,0.470357,0.501861,0.536956,0.573938,0.611252,0.647524,0.503137,0.466865,0.434882,0.442461,0.44141,0.433137,0.435043,0.447017,0.468127,0.480166,0.48127,0.519499,0.559668,0.600107,0.639362,0.484005,0.444721,0.459988,0.465282,0.479305,inf,inf,inf,0.508925,0.506958,0.51109,0.50252,0.545913,0.589487,0.631712,0.465271,0.422902,0.501987,0.504894,0.517238,inf,inf,inf,inf,0.550758,0.541348,0.50271,0.532693,0.579408,0.624583,0.446959,0.45143,0.527567,0.544642,inf,inf,inf,inf,inf,0.594928,0.588738,0.520097,0.520031,0.569885,0.617988,0.429094,0.530332,inf,inf,inf,inf,inf,inf,inf,inf,0.603292,0.588039,0.524615,0.560933,0.611934,0.47837,0.542971,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.606565,0.579798,0.552568,0.60643,0.528148,0.539376,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.625704,0.635602,0.544802,0.601487,0.545125,0.552914,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.628817,0.625381,0.604318,0.59711,0.562664,0.600288,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.649157,0.61446,0.593307,0.547465,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.656949,0.641908,0.640084,0.549561,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.670006,0.687446,0.568985,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.665431,0.668731,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.678192,0.70061,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.716416
9,0.546618,0.513981,0.484775,0.460654,0.443165,0.433561,0.675504,0.440383,0.456374,0.479464,0.508181,0.540885,0.575928,0.611758,0.646978,0.526483,0.490776,0.458766,0.432287,0.413079,0.402562,0.419245,0.427957,0.428058,0.45357,0.485182,0.521066,0.559414,0.598545,0.636963,0.506735,0.467888,0.432984,0.421699,0.418335,0.424507,0.423552,0.43325,0.452851,0.463249,0.462564,0.501708,0.543412,0.585866,0.627482,0.487395,0.445337,0.425094,0.446548,0.476587,inf,inf,inf,inf,0.490877,0.493294,0.482836,0.527944,0.573741,0.618545,0.468488,0.423148,0.488059,0.506849,0.499606,inf,inf,inf,inf,0.536478,0.542106,0.499772,0.513035,0.562187,0.610167,0.450037,0.418995,0.533665,0.532029,inf,inf,inf,inf,inf,inf,0.591385,0.534897,0.498708,0.551222,0.602359,0.432069,0.485844,0.544292,inf,inf,inf,inf,inf,inf,inf,inf,0.588242,0.520281,0.540864,0.595133,0.414611,0.517845,0.55526,inf,inf,inf,inf,inf,inf,inf,inf,0.606895,0.613073,0.53113,0.588499,0.485927,0.550323,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.618285,0.557332,0.58247,0.522516,0.548018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.641823,0.601839,0.577053,0.524408,0.563907,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.648418,0.629372,0.589906,0.544578,0.580381,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.638094,0.639946,0.638683,0.547762,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.651222,0.67045,0.516347,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.645567,0.667566,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.658286,0.682977
