t_idx,best_index
0,217
1,217
2,217
3,217
4,217
5,217
6,217
7,217
8,217
9,217
10,217
11,217
12,217
13,217
14,217
15,217
16,217
17,217
18,217
19,217
20,217
21,217
22,217
23,217
24,217
25,217
26,217
27,217
28,217
29,217
30,217
31,217
32,217
33,217
34,217
35,217
36,217
37,217
38,217
39,217
40,217
41,217
42,217
43,217
44,217
45,217
46,217
47,217
48,217
49,217
50,217
51,217
52,217
53,217
54,217
55,217
56,217
57,217
58,217
59,217
60,217
61,217
62,217
63,217
64,217
65,217
66,217
67,217
68,217
69,217
70,217
71,217
72,217
73,217
74,217
75,217
76,217
77,217
78,217
79,217
80,217
81,217
82,217
83,217
84,217
85,217
86,217
87,217
88,217
89,217
90,217
91,217
92,217
93,217
94,217
95,217
96,217
97,217
98,217
99,217
100,217
101,217
102,217
103,217
104,217
105,217
106,217
107,217
108,217
109,217
110,217
111,217
112,217
113,217
114,217
115,217
116,217
117,217
118,217
119,217
120,217
121,217
122,217
123,217
124,217
125,217
126,217
127,217
128,217
129,217
130,217
131,217
132,217
133,217
134,217
135,217
136,217
137,217
138,217
139,217
140,217
141,217
142,217
143,217
144,217
145,217
146,217
147,217
148,217
149,217
150,217
151,217
152,217
153,217
154,217
155,217
156,217
157,217
158,217
159,217
160,217
161,217
162,217
163,217
164,217
165,216
166,216
167,216
168,216
169,216
170,217
171,218
172,218
173,217
174,216
175,217
176,217
177,216
178,216
179,217
180,217
181,216
182,217
183,216
184,216
185,216
186,216
187,216
188,217
189,216
190,216
191,216
192,216
193,215
194,215
195,215
196,216
197,215
198,215
199,215
200,215
201,215
202,215
203,215
204,215
205,214
206,215
207,215
208,214
209,214
210,214
211,214
212,214
213,214
214,214
215,214
216,214
217,214
218,214
219,214
220,214
221,215
222,214
223,215
224,215
225,200
226,215
227,215
228,215
229,214
230,214
231,214
232,214
233,214
234,199
235,214
236,199
237,198
238,198
239,213
240,212
241,212
242,212
243,198
244,198
245,198
246,213
247,212
248,197
249,211
250,182
251,196
252,210
253,195
254,165
255,180
256,195
257,151
258,180
259,136
260,107
261,210
262,195
263,91
264,120
265,120
266,75
267,45
268,45
269,4
270,34
271,33
272,33
273,30
274,17
275,18
276,2
277,2
278,0
279,1
280,5
281,6
282,4
283,4
284,4
285,4
286,4
287,13
288,4
289,5
290,5
291,5
292,6
293,6
294,5
295,5
296,6
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,-1
304,1
305,60
306,75
307,105
308,52
309,30
310,30
311,15
312,45
313,45
314,75
315,84
316,107
317,107
318,108
319,80
320,95
321,123
322,110
323,97
324,97
325,-1
326,52
327,42
328,-1
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,-1
336,-1
337,-1
338,-1
339,-1
340,-1
341,-1
342,-1
343,215
344,215
345,216
346,217
347,216
348,216
349,217
350,217
351,218
352,217
353,217
354,217
355,217
356,218
357,218
358,216
359,215
360,215
361,215
362,215
363,215
364,215
365,214
366,214
367,214
368,214
369,215
370,214
371,214
372,213
373,213
374,213
375,213
376,214
377,213
378,213
379,214
380,214
381,213
382,213
383,213
384,213
385,212
386,213
387,215
388,215
389,167
390,168
391,136
392,1
393,1
394,1
395,6
396,11
397,12
398,13
399,6
400,6
401,5
402,6
403,5
404,6
405,8
406,9
407,-1
408,-1
409,-1
410,-1
411,-1
412,-1
413,-1
414,220
415,220
416,205
417,-1
418,204
419,213
420,188
421,188
